CustomerID,Name,Age,Gender,City,EmploymentType,Income,LoanAmount,LoanTerm,CreditScore,PreviousDefaults,Approved,Defaulted
98,Khalid Khan,34,Male,Fujairah,Self-Employed,18033.4,153838.8,24,323,0,False,False
99,Omar Joseph,53,Male,Dubai,Self-Employed,11493.91,106424.88,12,348,2,True,False
100,Zara Ahmed,50,Female,Abu Dhabi,Salaried,13758.43,64061.74,60,443,2,False,False
101,Fatima Ahmed,41,Male,Sharjah,Self-Employed,7449.7,145211.68,48,383,0,True,False
102,Ali Joseph,34,Female,Dubai,Self-Employed,21920.56,86523.2,60,831,1,False,False
103,James Joseph,52,Female,Abu Dhabi,Salaried,17644.65,102105.24,48,432,2,True,False
104,Laila Joseph,23,Male,Fujairah,Self-Employed,28042.43,32565.55,48,412,0,False,False
105,John Ali,30,Male,Sharjah,Self-Employed,29775.5,67619.42,48,328,0,True,False
106,James Ahmed,40,Female,Abu Dhabi,Salaried,25478.13,102870.79,12,657,0,True,False
107,Zara Khan,57,Female,Sharjah,Self-Employed,16880.69,146806.36,60,435,0,False,False
108,Laila Smith,41,Male,Fujairah,Self-Employed,14680.88,181046.44,36,346,2,False,False
109,Sara Smith,22,Female,Fujairah,Salaried,21097.85,26178.89,60,354,2,True,False
110,Khalid Ahmed,28,Male,Dubai,Self-Employed,24668.93,56604.47,60,754,0,False,False
111,John Joseph,22,Female,Ajman,Salaried,15373.41,173333.2,36,691,1,True,True
112,Sara Ali,31,Female,Abu Dhabi,Salaried,11388.86,27029.43,36,717,2,True,True
113,Ayesha Smith,22,Male,Sharjah,Self-Employed,7468.61,37067.5,36,564,1,True,True
114,Fatima Ali,58,Male,Ajman,Self-Employed,28733.93,61164.63,36,775,2,False,True
115,John Joseph,35,Male,Sharjah,Salaried,11157.9,115394.42,24,611,2,False,False
116,Khalid Smith,30,Female,Fujairah,Salaried,24550.59,112131.77,48,762,0,True,False
117,Zara Khan,31,Male,Dubai,Self-Employed,11832.57,57668.9,48,659,2,True,False
118,Khalid Khan,23,Male,Fujairah,Salaried,12515.96,85107.93,12,443,2,False,False
119,Fatima Ali,53,Female,Sharjah,Self-Employed,29491.01,144473.28,36,551,2,False,False
120,Laila Ali,42,Male,Abu Dhabi,Salaried,20219.67,10813.06,12,477,1,False,False
121,Khalid Ahmed,25,Male,Ajman,Salaried,13824.87,164428.44,60,666,1,True,False
122,John Ahmed,50,Female,Abu Dhabi,Self-Employed,5234.08,151197.44,36,666,0,True,False
123,Omar Smith,35,Female,Sharjah,Salaried,12018.91,181856.44,60,514,0,True,False
124,James Ahmed,38,Female,Abu Dhabi,Salaried,21495.96,117484.34,60,479,0,True,False
125,Ali Khan,57,Male,Fujairah,Self-Employed,9796.29,138815.96,60,558,2,False,True
126,James Ahmed,41,Female,Ajman,Self-Employed,8042.94,108476.1,48,670,2,True,False
127,Fatima Ahmed,38,Female,Fujairah,Self-Employed,12906.05,84453.19,36,383,2,True,False
128,Fatima Joseph,25,Male,Abu Dhabi,Salaried,13230.62,21940.38,12,328,1,False,False
129,Zara Khan,37,Male,Dubai,Self-Employed,10958.98,74752.37,12,641,2,True,False
130,Zara Ali,49,Male,Ajman,Salaried,7138.37,21530.52,12,686,1,True,False
131,John Joseph,24,Female,Fujairah,Self-Employed,6644.76,138737.25,60,353,1,False,False
132,Zara Joseph,35,Male,Ajman,Self-Employed,16605.23,91340.09,60,403,1,True,False
133,Ayesha Ali,33,Male,Dubai,Salaried,19879.38,22833.45,24,429,2,False,False
134,Laila Ali,49,Male,Abu Dhabi,Salaried,24925.64,21493.32,36,746,2,False,False
135,Khalid Smith,30,Female,Sharjah,Self-Employed,12276.6,194351.5,60,448,0,True,False
136,Khalid Ahmed,48,Female,Abu Dhabi,Salaried,21013.87,48239.63,12,649,0,False,False
137,Laila Ali,42,Female,Fujairah,Self-Employed,15467.38,40833.2,48,343,1,True,False
138,Fatima Smith,50,Male,Abu Dhabi,Self-Employed,23364.65,190991.76,36,684,0,False,False
139,John Khan,21,Male,Sharjah,Salaried,18867.29,37056.37,48,499,2,False,True
140,John Smith,33,Female,Abu Dhabi,Salaried,27134.56,146578.97,36,551,0,True,True
141,Omar Ahmed,22,Male,Ajman,Salaried,13459.58,49945.1,48,545,1,False,False
142,Khalid Ali,48,Male,Dubai,Salaried,27068.08,34850.99,24,496,2,False,False
143,Ayesha Ali,48,Male,Dubai,Salaried,26360.89,65894.72,24,635,0,True,False
144,Omar Smith,53,Female,Abu Dhabi,Salaried,24616.63,160289.47,60,366,0,False,False
145,Khalid Khan,52,Female,Abu Dhabi,Self-Employed,22812.17,109840.38,48,806,1,False,False
146,Zara Ahmed,34,Male,Abu Dhabi,Self-Employed,26579.21,85221.0,36,735,1,True,False
147,Ayesha Khan,56,Male,Abu Dhabi,Salaried,12376.2,108575.94,24,342,1,False,False
148,Laila Joseph,47,Female,Ajman,Self-Employed,11825.49,14696.46,48,539,1,True,False
149,Sara Khan,53,Male,Sharjah,Salaried,7460.23,23556.25,12,505,1,True,False
150,Omar Khan,38,Male,Fujairah,Salaried,29960.13,152952.84,60,567,0,False,False
151,Ayesha Joseph,46,Male,Ajman,Salaried,26636.65,53239.91,24,785,0,False,False
152,Laila Khan,26,Female,Abu Dhabi,Self-Employed,24253.28,142608.84,24,749,1,True,False
153,Zara Smith,40,Male,Ajman,Self-Employed,13495.56,89637.99,48,850,1,False,False
154,Zara Ahmed,29,Male,Sharjah,Self-Employed,29504.3,48798.88,48,365,2,False,True
155,Sara Khan,57,Female,Sharjah,Salaried,9285.59,138228.25,24,332,2,False,True
156,Fatima Ahmed,45,Female,Abu Dhabi,Salaried,12277.64,109635.18,48,358,1,True,True
157,James Joseph,31,Male,Abu Dhabi,Self-Employed,16956.28,23064.97,24,433,0,False,False
158,Laila Smith,59,Female,Fujairah,Salaried,17561.88,140118.83,36,506,0,True,False
159,James Ali,36,Female,Fujairah,Self-Employed,16505.11,119465.22,12,594,2,False,False
160,Omar Joseph,60,Male,Ajman,Salaried,9489.45,127369.94,48,768,1,True,False
161,Sara Joseph,23,Male,Abu Dhabi,Self-Employed,27063.9,112170.13,12,522,1,False,False
162,Khalid Ahmed,44,Male,Dubai,Self-Employed,15252.4,41319.43,24,818,0,False,True
163,Laila Joseph,42,Female,Abu Dhabi,Self-Employed,5944.37,57615.09,24,634,2,False,False
164,Sara Ahmed,56,Male,Ajman,Salaried,16769.69,63036.96,24,474,0,True,False
165,Sara Ali,46,Male,Dubai,Salaried,21934.58,39164.33,36,482,0,True,False
166,Khalid Smith,49,Male,Fujairah,Salaried,14765.46,68581.61,12,304,0,False,False
167,Fatima Khan,36,Male,Dubai,Salaried,15542.07,197965.22,36,496,2,True,True
168,Sara Smith,31,Male,Ajman,Salaried,25390.61,71309.12,24,512,2,False,False
169,Sara Smith,34,Male,Sharjah,Self-Employed,9340.54,86406.5,36,312,1,True,False
170,Sara Khan,60,Female,Dubai,Salaried,27136.5,88108.4,60,811,0,True,False
171,Sara Ali,41,Female,Abu Dhabi,Self-Employed,9383.28,154726.09,36,793,0,False,True
172,Zara Joseph,45,Male,Fujairah,Salaried,10815.15,127106.25,12,616,0,False,False
173,Zara Ahmed,24,Male,Sharjah,Self-Employed,12415.37,38817.41,24,338,0,False,False
174,Ayesha Smith,38,Female,Dubai,Self-Employed,21201.16,64806.47,12,534,2,False,False
175,Fatima Ali,24,Male,Abu Dhabi,Self-Employed,18036.8,44873.64,12,366,1,True,False
176,John Smith,34,Male,Dubai,Salaried,19815.77,167931.97,24,541,2,True,False
177,Laila Khan,31,Male,Abu Dhabi,Self-Employed,9410.89,57304.19,36,759,2,True,True
178,Laila Ahmed,44,Female,Ajman,Salaried,16767.84,90312.48,60,743,0,False,True
179,James Joseph,26,Female,Fujairah,Salaried,18821.3,43382.87,48,774,1,False,True
180,Khalid Ali,51,Male,Sharjah,Salaried,22871.58,47185.99,24,304,0,False,False
181,James Joseph,44,Female,Ajman,Self-Employed,21026.22,121778.71,48,339,0,False,False
182,Ali Smith,48,Female,Sharjah,Self-Employed,20874.49,79954.3,12,694,1,True,True
183,John Khan,22,Male,Sharjah,Self-Employed,28606.63,37999.8,24,465,0,True,False
184,James Joseph,58,Male,Fujairah,Salaried,26900.15,41506.49,48,558,2,False,False
185,Khalid Joseph,58,Female,Ajman,Salaried,7731.85,118796.22,36,446,1,True,False
186,James Khan,21,Male,Ajman,Salaried,7421.77,157011.29,48,837,1,False,False
187,Ali Smith,44,Male,Abu Dhabi,Salaried,17161.78,105496.61,12,761,2,True,True
188,John Smith,33,Female,Ajman,Self-Employed,20670.93,128640.08,24,381,1,True,False
189,Omar Ahmed,42,Male,Fujairah,Salaried,16947.43,137832.87,12,309,0,False,False
190,John Ali,23,Male,Abu Dhabi,Salaried,14391.65,108814.08,36,797,1,False,False
191,Ayesha Khan,42,Female,Abu Dhabi,Self-Employed,21626.96,81902.78,12,664,1,True,True
192,James Smith,22,Male,Fujairah,Self-Employed,28776.55,152773.55,24,677,1,False,False
193,Fatima Ahmed,41,Male,Sharjah,Salaried,29239.94,149804.48,48,539,2,False,False
194,Zara Ahmed,43,Female,Ajman,Salaried,23356.94,65833.96,24,446,2,True,True
195,Sara Khan,56,Female,Abu Dhabi,Self-Employed,28876.28,101612.02,60,546,0,True,False
196,Sara Ahmed,48,Male,Abu Dhabi,Self-Employed,27566.21,155598.68,24,563,2,False,False
197,Sara Smith,55,Female,Dubai,Self-Employed,26798.52,187038.19,60,366,2,False,False
198,James Ali,48,Male,Abu Dhabi,Self-Employed,7892.25,26659.26,12,648,2,True,False
199,Sara Ali,44,Male,Sharjah,Self-Employed,19422.92,10318.91,12,848,0,False,False
200,Ayesha Khan,29,Male,Dubai,Self-Employed,5229.71,171948.78,36,448,1,True,False
201,Laila Smith,59,Female,Abu Dhabi,Salaried,19972.01,68689.37,12,580,2,False,False
202,Fatima Joseph,39,Female,Dubai,Self-Employed,8817.56,146185.6,24,353,0,False,False
203,Omar Smith,22,Female,Sharjah,Self-Employed,21947.47,198159.72,48,700,0,False,False
204,Fatima Ali,46,Male,Abu Dhabi,Self-Employed,23806.66,120272.9,12,611,1,True,False
205,Laila Joseph,39,Male,Abu Dhabi,Salaried,25108.96,47174.46,12,670,2,True,False
206,Ali Joseph,48,Male,Dubai,Salaried,13889.6,100036.39,12,420,2,False,False
207,Ali Joseph,36,Male,Dubai,Salaried,14916.12,67511.03,60,476,2,False,False
208,Sara Joseph,45,Female,Ajman,Self-Employed,5290.06,32159.25,12,800,2,True,True
209,Zara Ali,51,Female,Dubai,Salaried,14599.0,199991.3,48,605,2,True,True
210,Sara Ali,32,Female,Dubai,Self-Employed,18901.5,111919.19,60,800,0,True,False
211,Fatima Ahmed,32,Male,Dubai,Self-Employed,25012.82,33378.61,24,511,2,True,True
212,Omar Ahmed,26,Male,Fujairah,Self-Employed,14088.99,113441.16,48,300,0,False,True
213,Khalid Khan,55,Female,Abu Dhabi,Self-Employed,22377.54,109306.59,36,822,0,True,False
214,John Smith,23,Male,Abu Dhabi,Self-Employed,26402.13,50890.46,24,521,2,False,True
215,Zara Joseph,25,Female,Sharjah,Self-Employed,21244.22,41030.68,48,385,1,False,False
216,Ali Ali,34,Male,Sharjah,Salaried,22861.12,117092.01,60,467,1,True,False
217,James Joseph,22,Male,Dubai,Self-Employed,8115.53,30898.13,60,716,0,False,False
218,Ayesha Khan,38,Male,Abu Dhabi,Self-Employed,5246.58,81659.64,24,687,0,True,False
219,Omar Ali,52,Male,Fujairah,Self-Employed,22511.39,174425.69,60,577,2,True,False
220,Ali Khan,45,Male,Sharjah,Self-Employed,16921.55,34238.72,12,825,2,True,False
221,Ali Joseph,57,Female,Dubai,Self-Employed,22687.56,57331.21,60,728,2,False,True
222,Ayesha Joseph,53,Female,Sharjah,Self-Employed,18014.87,146508.69,24,612,2,True,False
223,James Khan,26,Male,Dubai,Salaried,28621.67,41371.49,12,386,2,False,False
224,Laila Ahmed,48,Male,Ajman,Self-Employed,17875.29,199611.34,60,427,1,True,False
225,John Joseph,55,Female,Abu Dhabi,Salaried,20184.34,193283.0,60,530,0,True,False
226,Ali Ali,43,Male,Ajman,Self-Employed,14477.37,80923.9,12,646,2,True,False
227,Sara Khan,40,Female,Sharjah,Self-Employed,10326.65,150224.89,60,703,0,False,False
228,Khalid Ahmed,50,Female,Dubai,Self-Employed,5147.28,97467.24,36,662,0,True,False
229,Ali Joseph,43,Male,Dubai,Self-Employed,17301.15,26101.32,60,457,1,True,False
230,John Smith,37,Male,Ajman,Self-Employed,14357.74,79254.18,24,849,1,True,False
231,Laila Smith,29,Female,Ajman,Salaried,13980.92,175397.67,24,413,0,False,True
232,James Joseph,42,Male,Abu Dhabi,Salaried,28709.4,192342.78,36,421,1,False,False
233,Ali Khan,46,Female,Abu Dhabi,Salaried,28941.96,160615.46,24,459,1,True,False
234,Fatima Ahmed,42,Female,Fujairah,Salaried,15858.21,64998.66,48,384,1,True,False
235,Khalid Smith,36,Female,Dubai,Self-Employed,29856.43,56997.33,48,503,1,True,False
236,Khalid Ali,32,Male,Fujairah,Salaried,10734.6,35136.2,12,580,0,True,False
237,Zara Smith,26,Male,Ajman,Self-Employed,18124.28,143030.18,24,527,1,False,False
238,Khalid Joseph,24,Female,Dubai,Self-Employed,14089.4,189169.76,48,552,1,True,True
239,John Ahmed,41,Male,Sharjah,Self-Employed,12003.98,125239.15,48,489,1,False,False
240,Omar Ahmed,27,Male,Fujairah,Salaried,13280.29,150845.5,36,841,2,False,True
241,Omar Smith,58,Female,Dubai,Salaried,8262.14,151091.61,12,342,2,True,True
242,Laila Ahmed,25,Female,Sharjah,Self-Employed,29741.12,48379.83,24,344,0,True,False
243,Omar Ali,43,Female,Ajman,Salaried,27771.23,22864.61,48,836,2,True,True
244,Omar Smith,39,Male,Fujairah,Salaried,24859.76,141822.63,48,806,2,True,True
245,Khalid Joseph,56,Female,Ajman,Self-Employed,10173.11,10684.1,60,523,2,True,False
246,Khalid Joseph,53,Female,Sharjah,Salaried,12409.09,61017.78,12,475,0,True,False
247,Omar Ahmed,30,Female,Abu Dhabi,Self-Employed,26834.57,19788.79,24,515,2,True,True
248,Ayesha Ali,44,Female,Dubai,Self-Employed,23051.99,87585.15,60,601,1,True,False
249,John Khan,35,Female,Abu Dhabi,Self-Employed,29290.12,112103.85,60,408,2,False,False
250,Omar Ali,56,Male,Ajman,Salaried,13106.58,48744.54,48,459,1,True,False
251,James Khan,30,Female,Dubai,Self-Employed,9537.84,45155.32,24,493,2,False,False
252,Ali Khan,22,Female,Abu Dhabi,Salaried,25437.48,140599.7,24,371,0,True,False
253,Laila Joseph,27,Male,Dubai,Salaried,14446.88,13936.02,12,344,0,True,False
254,Omar Smith,59,Male,Dubai,Salaried,18559.25,165468.52,12,507,0,False,False
255,Laila Smith,40,Female,Ajman,Salaried,11095.22,113270.02,36,426,0,True,False
256,Omar Ahmed,53,Female,Abu Dhabi,Salaried,27804.17,14560.17,48,694,0,False,False
257,Fatima Joseph,28,Female,Abu Dhabi,Salaried,10613.06,191728.63,36,665,0,False,False
258,Sara Ahmed,59,Male,Abu Dhabi,Self-Employed,18262.02,123926.18,48,453,2,False,False
259,Omar Khan,27,Female,Ajman,Self-Employed,28322.05,164036.69,12,302,0,True,False
260,James Joseph,51,Male,Dubai,Self-Employed,28989.63,62910.47,12,630,0,True,False
261,Ayesha Khan,52,Female,Ajman,Self-Employed,20043.58,130954.8,24,551,1,False,False
262,Khalid Ali,52,Male,Ajman,Salaried,19524.1,90149.74,60,524,2,True,True
263,John Smith,22,Female,Fujairah,Self-Employed,28940.39,184971.78,12,657,1,True,True
264,Ali Ali,47,Male,Abu Dhabi,Salaried,6396.64,36182.25,24,686,2,True,False
265,James Khan,24,Male,Fujairah,Salaried,16920.66,122845.87,24,330,0,False,False
266,Fatima Ahmed,21,Female,Abu Dhabi,Salaried,16744.12,36621.36,60,606,1,False,False
267,Laila Ahmed,39,Male,Abu Dhabi,Salaried,27028.93,16102.63,24,815,0,True,False
268,James Joseph,56,Female,Fujairah,Self-Employed,22733.82,90497.35,24,578,0,False,False
269,Ali Smith,46,Male,Abu Dhabi,Self-Employed,9592.34,151739.19,60,379,2,False,False
270,James Joseph,31,Male,Sharjah,Self-Employed,9868.26,30596.17,12,671,2,False,True
271,Omar Smith,55,Male,Dubai,Salaried,19927.77,153739.07,36,492,2,True,False
272,John Smith,38,Male,Fujairah,Salaried,19093.48,160142.88,12,349,1,True,False
273,John Khan,39,Female,Fujairah,Salaried,12861.81,84221.85,36,432,2,True,False
274,Khalid Ahmed,53,Male,Dubai,Self-Employed,16923.83,175074.35,12,597,0,True,False
275,Sara Ahmed,35,Male,Abu Dhabi,Salaried,29835.42,105307.78,60,835,1,False,False
276,Ayesha Khan,44,Female,Dubai,Self-Employed,10977.77,199431.8,60,376,0,False,True
277,John Smith,40,Male,Ajman,Salaried,16370.2,42246.35,36,465,0,False,False
278,Ayesha Ahmed,25,Male,Ajman,Self-Employed,29653.58,195911.91,48,443,0,False,True
279,Omar Joseph,47,Male,Ajman,Self-Employed,17811.98,128680.06,36,682,0,False,False
280,Omar Ahmed,60,Male,Abu Dhabi,Salaried,8864.06,30006.62,48,462,2,False,False
281,Fatima Joseph,50,Male,Sharjah,Self-Employed,16712.22,111671.99,48,411,0,True,False
282,James Joseph,33,Female,Sharjah,Salaried,12932.12,199323.26,48,517,2,False,True
283,Laila Ahmed,55,Male,Ajman,Salaried,21005.41,70835.46,12,689,0,False,False
284,Laila Smith,24,Male,Dubai,Self-Employed,11746.2,130780.59,12,445,0,False,False
285,Omar Joseph,47,Male,Sharjah,Salaried,25763.73,27563.84,48,650,1,True,True
286,James Joseph,51,Male,Ajman,Self-Employed,27814.95,118360.21,12,503,0,True,False
287,Ayesha Ahmed,30,Female,Abu Dhabi,Self-Employed,26607.53,31585.31,48,569,2,True,False
288,Ali Joseph,58,Male,Dubai,Salaried,23642.69,45654.82,60,470,2,False,True
289,Fatima Smith,57,Male,Sharjah,Self-Employed,5404.78,180364.43,60,427,2,False,False
290,Laila Joseph,47,Female,Sharjah,Self-Employed,18079.25,155365.42,12,480,1,False,False
291,Khalid Ali,31,Female,Ajman,Self-Employed,26127.29,140824.62,48,590,2,True,False
292,Sara Ahmed,22,Female,Dubai,Self-Employed,23748.59,128526.88,60,402,2,False,False
293,John Khan,47,Male,Abu Dhabi,Self-Employed,18789.7,31755.21,48,427,1,False,False
294,James Ahmed,44,Male,Fujairah,Self-Employed,11690.23,135149.55,36,724,2,True,True
